snapshot,UserA_energy_MWh,UserB_discharge_MWh,UserB_charge_MWh,UserC_energy_MWh,Price_UserA_bus,Price_UserB_bus,Price_UserC_bus,UserA_cost_lin,UserA_cost_quad,UserB_cost_lin,UserB_cost_quad,UserA_revenue,UserA_cashflow_net,UserB_cashflow,UserC_cashflow
2025-01-01 00:00:00,4.863645194802503,1.0125233984556115e-14,-0.0,0.0,11.200019914930019,13.000027670981822,13.000028976119763,2.4318225974012515,26.020549039018025,1.0125233984556115e-16,2.050407264840202e-29,54.47292304094172,26.020551404522447,1.3152706963454943e-13,-0.0
2025-01-01 01:00:00,4.863645194808449,0.0,1.011510875057156e-14,0.0,11.200019914943105,13.000027671025462,13.000028976147686,2.4318225974042247,26.02054903908165,0.0,0.0,54.47292304107197,26.020551404586097,-1.3149669365286207e-13,-0.0
2025-01-01 02:00:00,4.863645194814289,0.0,-0.0,0.0,11.20001991495596,13.000027671068276,13.000028976175086,2.4318225974071446,26.020549039144136,0.0,0.0,54.47292304119989,26.02055140464861,0.0,-0.0
2025-01-01 03:00:00,4.86364519482002,8.79467166844915e-14,-0.0,0.0,11.20001991496856,13.000027671110285,13.000028976201966,2.43182259741001,26.020549039205456,8.79467166844915e-16,1.546924995116443e-27,54.472923041325366,26.0205514047099,1.1424302833148397e-12,-0.0
2025-01-01 04:00:00,4.863645194825636,0.0,1.0084793759530984e-14,0.0,11.200019914980912,13.000027671151464,13.00002897622832,2.431822597412818,26.020549039265546,0.0,0.0,54.47292304144833,26.020551404769968,-1.311025979317584e-13,-0.0
2025-01-01 05:00:00,4.8636451948311485,0.0,1.3389289676979388e-13,0.0,11.200019914993034,13.000027671191885,13.000028976254153,2.4318225974155743,26.020549039324532,0.0,0.0,54.47292304156904,26.020551404828932,-1.740611362983359e-12,-0.0
2025-01-01 06:00:00,4.863645194836541,0.0,3.874407762092083e-14,0.0,11.2000199150049,13.000027671231425,13.000028976279461,2.4318225974182703,26.02054903938223,0.0,0.0,54.47292304168714,26.020551404886636,-5.03674081168309e-13,-0.0
2025-01-01 07:00:00,4.86364519484182,0.0,-0.0,0.0,11.200019915016524,13.00002767127018,13.000028976304256,2.43182259742091,26.02054903943872,0.0,0.0,54.47292304180281,26.020551404943177,0.0,-0.0
2025-01-01 08:00:00,4.863645194847003,0.0,-0.0,0.0,11.200019915027902,13.000027671308118,13.00002897632852,2.4318225974235017,26.020549039494185,0.0,0.0,54.4729230419162,26.02055140499851,0.0,-0.0
2025-01-01 09:00:00,4.86364519485206,0.0,-0.0,0.0,11.200019915039054,13.000027671345245,13.00002897635227,2.43182259742603,26.020549039548285,0.0,0.0,54.47292304202707,26.020551405052753,0.0,-0.0
2025-01-01 10:00:00,4.863645194857007,0.0,-0.0,0.0,11.200019915049936,13.000027671381561,13.000028976375491,2.4318225974285035,26.020549039601217,0.0,0.0,54.4729230421354,26.020551405105678,0.0,-0.0
2025-01-01 11:00:00,4.863645194861851,0.0,-0.0,0.0,11.20001991506059,13.000027671417062,13.000028976398195,2.4318225974309255,26.020549039653055,0.0,0.0,54.472923042241476,26.020551405157494,0.0,-0.0
2025-01-01 12:00:00,4.86364519486658,0.0,-0.0,0.0,11.200019915071,13.000027671451747,13.00002897642037,2.43182259743329,26.020549039703653,0.0,0.0,54.472923042345066,26.020551405208124,0.0,-0.0
2025-01-01 13:00:00,4.863645194871194,0.0,-0.0,0.0,11.200019915081159,13.000027671485624,13.00002897644203,2.431822597435597,26.02054903975302,0.0,0.0,54.472923042446155,26.020551405257535,0.0,-0.0
2025-01-01 14:00:00,4.863645194875706,0.0,-0.0,0.0,11.200019915091078,13.000027671518685,13.000028976463161,2.431822597437853,26.0205490398013,0.0,0.0,54.47292304254493,26.020551405305774,0.0,-0.0
2025-01-01 15:00:00,4.863645194880106,0.0,-0.0,0.0,11.200019915100754,13.000027671550935,13.000028976483776,2.431822597440053,26.02054903984838,0.0,0.0,54.47292304264127,26.020551405352837,0.0,-0.0
2025-01-01 16:00:00,4.863645194884392,0.0,-0.0,0.0,11.200019915110182,13.000027671582366,13.000028976503863,2.431822597442196,26.020549039894245,0.0,0.0,54.47292304273514,26.0205514053987,0.0,-0.0
2025-01-01 17:00:00,4.863645194888568,0.0,-0.0,0.0,11.20001991511937,13.000027671612985,13.000028976523426,2.431822597444284,26.020549039938928,0.0,0.0,54.472923042826594,26.02055140544338,0.0,-0.0
2025-01-01 18:00:00,4.8636451948926345,0.0,-0.0,0.0,11.200019915128316,13.000027671642803,13.00002897654248,2.4318225974463172,26.020549039982434,0.0,0.0,54.472923042915646,26.020551405486895,0.0,-0.0
2025-01-01 19:00:00,4.8636451948965895,0.0,-0.0,0.0,11.200019915137013,13.000027671671798,13.000028976561005,2.4318225974482948,26.020549040024754,0.0,0.0,54.47292304300224,26.02055140552919,0.0,-0.0
2025-01-01 20:00:00,4.863645194900426,0.0,-0.0,0.0,11.200019915145477,13.000027671699984,13.000028976579003,2.431822597450213,26.0205490400658,0.0,0.0,54.47292304308637,26.020551405570355,0.0,-0.0
2025-01-01 21:00:00,4.863645194904167,0.0,-0.0,0.0,11.200019915153682,13.000027671727363,13.000028976596496,2.4318225974520833,26.02054904010583,0.0,0.0,54.47292304316818,26.020551405610266,0.0,-0.0
2025-01-01 22:00:00,4.863645194907787,0.0,-0.0,0.0,11.200019915161649,13.000027671753916,13.000028976613446,2.4318225974538934,26.020549040144566,0.0,0.0,54.47292304324747,26.02055140564901,0.0,-0.0
